A,B,Cin,CSum
0000,0000,0,00000
0000,0001,0,00001
0000,0010,0,00010
0000,0011,0,00011
0000,0100,0,00100
0000,0101,0,00101
0000,0110,0,00110
0000,0111,0,00111
0000,1000,0,01000
0000,1001,0,01001
0000,1010,0,01010
0000,1011,0,01011
0000,1100,0,01100
0000,1101,0,01101
0000,1110,0,01110
0000,1111,0,01111
0001,0000,0,00001
0001,0001,0,00010
0001,0010,0,00011
0001,0011,0,00100
0001,0100,0,00101
0001,0101,0,00110
0001,0110,0,00111
0001,0111,0,01000
0001,1000,0,01001
0001,1001,0,01010
0001,1010,0,01011
0001,1011,0,01100
0001,1100,0,01101
0001,1101,0,01110
0001,1110,0,01111
0001,1111,0,10000
0010,0000,0,00010
0010,0001,0,00011
0010,0010,0,00100
0010,0011,0,00101
0010,0100,0,00110
0010,0101,0,00111
0010,0110,0,01000
0010,0111,0,01001
0010,1000,0,01010
0010,1001,0,01011
0010,1010,0,01100
0010,1011,0,01101
0010,1100,0,01110
0010,1101,0,01111
0010,1110,0,10000
0010,1111,0,10001
0011,0000,0,00011
0011,0001,0,00100
0011,0010,0,00101
0011,0011,0,00110
0011,0100,0,00111
0011,0101,0,01000
0011,0110,0,01001
0011,0111,0,01010
0011,1000,0,01011
0011,1001,0,01100
0011,1010,0,01101
0011,1011,0,01110
0011,1100,0,01111
0011,1101,0,10000
0011,1110,0,10001
0011,1111,0,10010
0100,0000,0,00100
0100,0001,0,00101
0100,0010,0,00110
0100,0011,0,00111
0100,0100,0,01000
0100,0101,0,01001
0100,0110,0,01010
0100,0111,0,01011
0100,1000,0,01100
0100,1001,0,01101
0100,1010,0,01110
0100,1011,0,01111
0100,1100,0,10000
0100,1101,0,10001
0100,1110,0,10010
0100,1111,0,10011
0101,0000,0,00101
0101,0001,0,00110
0101,0010,0,00111
0101,0011,0,01000
0101,0100,0,01001
0101,0101,0,01010
0101,0110,0,01011
0101,0111,0,01100
0101,1000,0,01101
0101,1001,0,01110
0101,1010,0,01111
0101,1011,0,10000
0101,1100,0,10001
0101,1101,0,10010
0101,1110,0,10011
0101,1111,0,10100
0110,0000,0,00110
0110,0001,0,00111
0110,0010,0,01000
0110,0011,0,01001
0110,0100,0,01010
0110,0101,0,01011
0110,0110,0,01100
0110,0111,0,01101
0110,1000,0,01110
0110,1001,0,01111
0110,1010,0,10000
0110,1011,0,10001
0110,1100,0,10010
0110,1101,0,10011
0110,1110,0,10100
0110,1111,0,10101
0111,0000,0,00111
0111,0001,0,01000
0111,0010,0,01001
0111,0011,0,01010
0111,0100,0,01011
0111,0101,0,01100
0111,0110,0,01101
0111,0111,0,01110
0111,1000,0,01111
0111,1001,0,10000
0111,1010,0,10001
0111,1011,0,10010
0111,1100,0,10011
0111,1101,0,10100
0111,1110,0,10101
0111,1111,0,10110
1000,0000,0,01000
1000,0001,0,01001
1000,0010,0,01010
1000,0011,0,01011
1000,0100,0,01100
1000,0101,0,01101
1000,0110,0,01110
1000,0111,0,01111
1000,1000,0,10000
1000,1001,0,10001
1000,1010,0,10010
1000,1011,0,10011
1000,1100,0,10100
1000,1101,0,10101
1000,1110,0,10110
1000,1111,0,10111
1001,0000,0,01001
1001,0001,0,01010
1001,0010,0,01011
1001,0011,0,01100
1001,0100,0,01101
1001,0101,0,01110
1001,0110,0,01111
1001,0111,0,10000
1001,1000,0,10001
1001,1001,0,10010
1001,1010,0,10011
1001,1011,0,10100
1001,1100,0,10101
1001,1101,0,10110
1001,1110,0,10111
1001,1111,0,11000
1010,0000,0,01010
1010,0001,0,01011
1010,0010,0,01100
1010,0011,0,01101
1010,0100,0,01110
1010,0101,0,01111
1010,0110,0,10000
1010,0111,0,10001
1010,1000,0,10010
1010,1001,0,10011
1010,1010,0,10100
1010,1011,0,10101
1010,1100,0,10110
1010,1101,0,10111
1010,1110,0,11000
1010,1111,0,11001
1011,0000,0,01011
1011,0001,0,01100
1011,0010,0,01101
1011,0011,0,01110
1011,0100,0,01111
1011,0101,0,10000
1011,0110,0,10001
1011,0111,0,10010
1011,1000,0,10011
1011,1001,0,10100
1011,1010,0,10101
1011,1011,0,10110
1011,1100,0,10111
1011,1101,0,11000
1011,1110,0,11001
1011,1111,0,11010
1100,0000,0,01100
1100,0001,0,01101
1100,0010,0,01110
1100,0011,0,01111
1100,0100,0,10000
1100,0101,0,10001
1100,0110,0,10010
1100,0111,0,10011
1100,1000,0,10100
1100,1001,0,10101
1100,1010,0,10110
1100,1011,0,10111
1100,1100,0,11000
1100,1101,0,11001
1100,1110,0,11010
1100,1111,0,11011
1101,0000,0,01101
1101,0001,0,01110
1101,0010,0,01111
1101,0011,0,10000
1101,0100,0,10001
1101,0101,0,10010
1101,0110,0,10011
1101,0111,0,10100
1101,1000,0,10101
1101,1001,0,10110
1101,1010,0,10111
1101,1011,0,11000
1101,1100,0,11001
1101,1101,0,11010
1101,1110,0,11011
1101,1111,0,11100
1110,0000,0,01110
1110,0001,0,01111
1110,0010,0,10000
1110,0011,0,10001
1110,0100,0,10010
1110,0101,0,10011
1110,0110,0,10100
1110,0111,0,10101
1110,1000,0,10110
1110,1001,0,10111
1110,1010,0,11000
1110,1011,0,11001
1110,1100,0,11010
1110,1101,0,11011
1110,1110,0,11100
1110,1111,0,11101
1111,0000,0,01111
1111,0001,0,10000
1111,0010,0,10001
1111,0011,0,10010
1111,0100,0,10011
1111,0101,0,10100
1111,0110,0,10101
1111,0111,0,10110
1111,1000,0,10111
1111,1001,0,11000
1111,1010,0,11001
1111,1011,0,11010
1111,1100,0,11011
1111,1101,0,11100
1111,1110,0,11101
1111,1111,0,11110
0000,0000,1,10000
0000,0001,1,01111
0000,0010,1,01110
0000,0011,1,01101
0000,0100,1,01100
0000,0101,1,01011
0000,0110,1,01010
0000,0111,1,01001
0000,1000,1,01000
0000,1001,1,00111
0000,1010,1,00110
0000,1011,1,00101
0000,1100,1,00100
0000,1101,1,00011
0000,1110,1,00010
0000,1111,1,00001
0001,0000,1,10001
0001,0001,1,10000
0001,0010,1,01111
0001,0011,1,01110
0001,0100,1,01101
0001,0101,1,01100
0001,0110,1,01011
0001,0111,1,01010
0001,1000,1,01001
0001,1001,1,01000
0001,1010,1,00111
0001,1011,1,00110
0001,1100,1,00101
0001,1101,1,00100
0001,1110,1,00011
0001,1111,1,00010
0010,0000,1,10010
0010,0001,1,10001
0010,0010,1,10000
0010,0011,1,01111
0010,0100,1,01110
0010,0101,1,01101
0010,0110,1,01100
0010,0111,1,01011
0010,1000,1,01010
0010,1001,1,01001
0010,1010,1,01000
0010,1011,1,00111
0010,1100,1,00110
0010,1101,1,00101
0010,1110,1,00100
0010,1111,1,00011
0011,0000,1,10011
0011,0001,1,10010
0011,0010,1,10001
0011,0011,1,10000
0011,0100,1,01111
0011,0101,1,01110
0011,0110,1,01101
0011,0111,1,01100
0011,1000,1,01011
0011,1001,1,01010
0011,1010,1,01001
0011,1011,1,01000
0011,1100,1,00111
0011,1101,1,00110
0011,1110,1,00101
0011,1111,1,00100
0100,0000,1,10100
0100,0001,1,10011
0100,0010,1,10010
0100,0011,1,10001
0100,0100,1,10000
0100,0101,1,01111
0100,0110,1,01110
0100,0111,1,01101
0100,1000,1,01100
0100,1001,1,01011
0100,1010,1,01010
0100,1011,1,01001
0100,1100,1,01000
0100,1101,1,00111
0100,1110,1,00110
0100,1111,1,00101
0101,0000,1,10101
0101,0001,1,10100
0101,0010,1,10011
0101,0011,1,10010
0101,0100,1,10001
0101,0101,1,10000
0101,0110,1,01111
0101,0111,1,01110
0101,1000,1,01101
0101,1001,1,01100
0101,1010,1,01011
0101,1011,1,01010
0101,1100,1,01001
0101,1101,1,01000
0101,1110,1,00111
0101,1111,1,00110
0110,0000,1,10110
0110,0001,1,10101
0110,0010,1,10100
0110,0011,1,10011
0110,0100,1,10010
0110,0101,1,10001
0110,0110,1,10000
0110,0111,1,01111
0110,1000,1,01110
0110,1001,1,01101
0110,1010,1,01100
0110,1011,1,01011
0110,1100,1,01010
0110,1101,1,01001
0110,1110,1,01000
0110,1111,1,00111
0111,0000,1,10111
0111,0001,1,10110
0111,0010,1,10101
0111,0011,1,10100
0111,0100,1,10011
0111,0101,1,10010
0111,0110,1,10001
0111,0111,1,10000
0111,1000,1,01111
0111,1001,1,01110
0111,1010,1,01101
0111,1011,1,01100
0111,1100,1,01011
0111,1101,1,01010
0111,1110,1,01001
0111,1111,1,01000
1000,0000,1,11000
1000,0001,1,10111
1000,0010,1,10110
1000,0011,1,10101
1000,0100,1,10100
1000,0101,1,10011
1000,0110,1,10010
1000,0111,1,10001
1000,1000,1,10000
1000,1001,1,01111
1000,1010,1,01110
1000,1011,1,01101
1000,1100,1,01100
1000,1101,1,01011
1000,1110,1,01010
1000,1111,1,01001
1001,0000,1,11001
1001,0001,1,11000
1001,0010,1,10111
1001,0011,1,10110
1001,0100,1,10101
1001,0101,1,10100
1001,0110,1,10011
1001,0111,1,10010
1001,1000,1,10001
1001,1001,1,10000
1001,1010,1,01111
1001,1011,1,01110
1001,1100,1,01101
1001,1101,1,01100
1001,1110,1,01011
1001,1111,1,01010
1010,0000,1,11010
1010,0001,1,11001
1010,0010,1,11000
1010,0011,1,10111
1010,0100,1,10110
1010,0101,1,10101
1010,0110,1,10100
1010,0111,1,10011
1010,1000,1,10010
1010,1001,1,10001
1010,1010,1,10000
1010,1011,1,01111
1010,1100,1,01110
1010,1101,1,01101
1010,1110,1,01100
1010,1111,1,01011
1011,0000,1,11011
1011,0001,1,11010
1011,0010,1,11001
1011,0011,1,11000
1011,0100,1,10111
1011,0101,1,10110
1011,0110,1,10101
1011,0111,1,10100
1011,1000,1,10011
1011,1001,1,10010
1011,1010,1,10001
1011,1011,1,10000
1011,1100,1,01111
1011,1101,1,01110
1011,1110,1,01101
1011,1111,1,01100
1100,0000,1,11100
1100,0001,1,11011
1100,0010,1,11010
1100,0011,1,11001
1100,0100,1,11000
1100,0101,1,10111
1100,0110,1,10110
1100,0111,1,10101
1100,1000,1,10100
1100,1001,1,10011
1100,1010,1,10010
1100,1011,1,10001
1100,1100,1,10000
1100,1101,1,01111
1100,1110,1,01110
1100,1111,1,01101
1101,0000,1,11101
1101,0001,1,11100
1101,0010,1,11011
1101,0011,1,11010
1101,0100,1,11001
1101,0101,1,11000
1101,0110,1,10111
1101,0111,1,10110
1101,1000,1,10101
1101,1001,1,10100
1101,1010,1,10011
1101,1011,1,10010
1101,1100,1,10001
1101,1101,1,10000
1101,1110,1,01111
1101,1111,1,01110
1110,0000,1,11110
1110,0001,1,11101
1110,0010,1,11100
1110,0011,1,11011
1110,0100,1,11010
1110,0101,1,11001
1110,0110,1,11000
1110,0111,1,10111
1110,1000,1,10110
1110,1001,1,10101
1110,1010,1,10100
1110,1011,1,10011
1110,1100,1,10010
1110,1101,1,10001
1110,1110,1,10000
1110,1111,1,01111
1111,0000,1,11111
1111,0001,1,11110
1111,0010,1,11101
1111,0011,1,11100
1111,0100,1,11011
1111,0101,1,11010
1111,0110,1,11001
1111,0111,1,11000
1111,1000,1,10111
1111,1001,1,10110
1111,1010,1,10101
1111,1011,1,10100
1111,1100,1,10011
1111,1101,1,10010
1111,1110,1,10001
1111,1111,1,10000
